STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2018-04-04,0.00,,58,46
USW00025333,"SITKA AIRPORT, AK US",2018-04-05,0.05,,56,45
USW00025333,"SITKA AIRPORT, AK US",2018-04-06,0.15,,55,44
USW00025333,"SITKA AIRPORT, AK US",2018-04-07,0.00,,59,46
USW00025333,"SITKA AIRPORT, AK US",2018-04-08,0.10,,57,45
USW00025333,"SITKA AIRPORT, AK US",2018-04-09,0.05,,56,45
USW00025333,"SITKA AIRPORT, AK US",2018-04-10,0.20,,58,46
USW00025333,"SITKA AIRPORT, AK US",2018-05-01,0.00,,60,47
USW00025333,"SITKA AIRPORT, AK US",2018-05-02,0.05,,62,48
USW00025333,"SITKA AIRPORT, AK US",2018-05-03,0.10,,59,47
USW00025333,"SITKA AIRPORT, AK US",2018-05-04,0.00,,63,49
USW00025333,"SITKA AIRPORT, AK US",2018-05-05,0.05,,61,48
USW00025333,"SITKA AIRPORT, AK US",2018-05-06,0.15,,60,47
USW00025333,"SITKA AIRPORT, AK US",2018-05-07,0.00,,64,49
USW00025333,"SITKA AIRPORT, AK US",2018-05-08,0.10,,62,48
USW00025333,"SITKA AIRPORT, AK US",2018-05-09,0.05,,61,48
USW00025333,"SITKA AIRPORT, AK US",2018-05-10,0.20,,63,49
USW00025333,"SITKA AIRPORT, AK US",2018-06-01,0.00,,65,50
USW00025333,"SITKA AIRPORT, AK US",2018-06-02,0.05,,67,51
USW00025333,"SITKA AIRPORT, AK US",2018-06-03,0.10,,64,50
USW00025333,"SITKA AIRPORT, AK US",2018-06-04,0.00,,68,52
USW00025333,"SITKA AIRPORT, AK US",2018-06-05,0.05,,66,51
USW00025333,"SITKA AIRPORT, AK US",2018-06-06,0.15,,65,50
USW00025333,"SITKA AIRPORT, AK US",2018-06-07,0.00,,69,52
USW00025333,"SITKA AIRPORT, AK US",2018-06-08,0.10,,67,51
USW00025333,"SITKA AIRPORT, AK US",2018-06-09,0.05,,66,51
USW00025333,"SITKA AIRPORT, AK US",2018-06-10,0.20,,68,52
USW00025333,"SITKA AIRPORT, AK US",2018-07-01,0.45,,62,38
USW00025333,"SITKA AIRPORT, AK US",2018-07-02,0.00,,58,40
USW00025333,"SITKA AIRPORT, AK US",2018-07-03,0.00,,70,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-04,0.00,,70,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-05,0.00,,67,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-06,0.00,,59,43
USW00025333,"SITKA AIRPORT, AK US",2018-07-07,0.00,,58,42
USW00025333,"SITKA AIRPORT, AK US",2018-07-08,0.00,,62,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-09,0.00,,66,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-10,0.00,,59,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-11,0.00,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018-07-12,0.00,,63,44
USW00025333,"SITKA AIRPORT, AK US",2018-07-13,0.00,,65,47
USW00025333,"SITKA AIRPORT, AK US",2018-07-14,0.00,,58,43
USW00025333,"SITKA AIRPORT, AK US",2018-07-15,0.00,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018-07-16,0.00,,59,43
USW00025333,"SITKA AIRPORT, AK US",2018-07-17,0.00,,64,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-18,0.00,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-19,0.00,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-20,0.00,,61,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-21,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-22,0.00,,65,49
USW00025333,"SITKA AIRPORT, AK US",2018-07-23,0.00,,63,47
USW00025333,"SITKA AIRPORT, AK US",2018-07-24,0.00,,59,44
USW00025333,"SITKA AIRPORT, AK US",2018-07-25,0.00,,64,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-26,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-27,0.00,,68,50
USW00025333,"SITKA AIRPORT, AK US",2018-07-28,0.00,,66,49
USW00025333,"SITKA AIRPORT, AK US",2018-07-29,0.00,,64,47
USW00025333,"SITKA AIRPORT, AK US",2018-07-30,0.00,,67,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-31,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-08-01,0.00,,68,50
USW00025333,"SITKA AIRPORT, AK US",2018-08-02,0.05,,66,49
USW00025333,"SITKA AIRPORT, AK US",2018-08-03,0.10,,69,51
USW00025333,"SITKA AIRPORT, AK US",2018-08-04,0.00,,67,50
USW00025333,"SITKA AIRPORT, AK US",2018-08-05,0.05,,68,50
USW00025333,"SITKA AIRPORT, AK US",2018-08-06,0.15,,66,49
USW00025333,"SITKA AIRPORT, AK US",2018-08-07,0.00,,70,52
USW00025333,"SITKA AIRPORT, AK US",2018-08-08,0.10,,68,51
USW00025333,"SITKA AIRPORT, AK US",2018-08-09,0.05,,67,50
USW00025333,"SITKA AIRPORT, AK US",2018-08-10,0.20,,69,51
USW00025333,"SITKA AIRPORT, AK US",2018-09-01,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-09-02,0.05,,63,47
USW00025333,"SITKA AIRPORT, AK US",2018-09-03,0.10,,66,49
USW00025333,"SITKA AIRPORT, AK US",2018-09-04,0.00,,64,48
USW00025333,"SITKA AIRPORT, AK US",2018-09-05,0.05,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-09-06,0.15,,63,47
USW00025333,"SITKA AIRPORT, AK US",2018-09-07,0.00,,67,49
USW00025333,"SITKA AIRPORT, AK US",2018-09-08,0.10,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-09-09,0.05,,64,48
USW00025333,"SITKA AIRPORT, AK US",2018-09-10,0.20,,66,49
USW00025333,"SITKA AIRPORT, AK US",2018-10-01,0.00,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-10-02,0.05,,58,44
USW00025333,"SITKA AIRPORT, AK US",2018-10-03,0.10,,61,45
USW00025333,"SITKA AIRPORT, AK US",2018-10-04,0.00,,59,44
USW00025333,"SITKA AIRPORT, AK US",2018-10-05,0.05,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-10-06,0.15,,58,44
USW00025333,"SITKA AIRPORT, AK US",2018-10-07,0.00,,62,46
USW00025333,"SITKA AIRPORT, AK US",2018-10-08,0.10,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-10-09,0.05,,59,44
USW00025333,"SITKA AIRPORT, AK US",2018-10-10,0.20,,61,45
USW00025333,"SITKA AIRPORT, AK US",2018-11-01,0.00,,55,42
USW00025333,"SITKA AIRPORT, AK US",2018-11-02,0.05,,53,41
USW00025333,"SITKA AIRPORT, AK US",2018-11-03,0.10,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018-11-04,0.00,,54,41
USW00025333,"SITKA AIRPORT, AK US",2018-11-05,0.05,,55,42
USW00025333,"SITKA AIRPORT, AK US",2018-11-06,0.15,,53,41
USW00025333,"SITKA AIRPORT, AK US",2018-11-07,0.00,,57,43
USW00025333,"SITKA AIRPORT, AK US",2018-11-08,0.10,,55,42
USW00025333,"SITKA AIRPORT, AK US",2018-11-09,0.05,,54,41
USW00025333,"SITKA AIRPORT, AK US",2018-11-10,0.20,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018-12-01,0.45,,48,40
USW00025333,"SITKA AIRPORT, AK US",2018-12-02,0.15,,46,39
USW00025333,"SITKA AIRPORT, AK US",2018-12-03,0.90,,45,38
USW00025333,"SITKA AIRPORT, AK US",2018-12-04,0.05,,47,39
USW00025333,"SITKA AIRPORT, AK US",2018-12-05,0.10,,49,40
USW00025333,"SITKA AIRPORT, AK US",2018-12-06,0.35,,44,38
USW00025333,"SITKA AIRPORT, AK US",2018-12-07,0.20,,46,39
USW00025333,"SITKA AIRPORT, AK US",2018-12-08,0.00,,48,40
USW00025333,"SITKA AIRPORT, AK US",2018-12-09,0.05,,50,41
USW00025333,"SITKA AIRPORT, AK US",2018-12-10,0.15,,47,39
